host_name,host_id,host_type,host_ips,missing_networks,stream_info,status_info,error_code,error_description,is_archived
s0649-pps01,04384EB8-477A-1005-BCA0-0050568525D9,host,['10.190.36.3'],['10.190.36.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s1290-pps01,0718E320-4673-1005-BCA0-0050568525D9,host,['10.200.40.3'],['10.200.40.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0970-pps01,09B99EA6-4B56-1005-B423-0050568505BC,host,['10.200.8.3'],['10.200.8.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0404-hyv01,09D0F364-3784-1005-8663-0050568525D9,host,['10.200.36.2'],['10.200.36.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0648-fsk03,0B955EBD-47A4-1005-ADC9-0050568505BC,host,['10.190.38.170'],['10.190.38.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0662-hyv01,0B9DCF72-2F6F-1005-8673-0050568505BC,host,['10.190.88.2'],['10.190.88.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0323-pps01,0D7A62F7-3CF5-1005-A5B6-0050568505BC,host,['10.199.152.3'],['10.199.152.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s873-boh,0DA63C2A-3784-1005-8663-0050568525D9,host,['10.193.166.169'],['10.193.166.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0334-pps01,0EC072D7-3B8A-1005-8663-0050568525D9,host,['10.199.0.3'],['10.199.0.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0614-pps01,0EC5196D-4755-1005-BCA0-0050568525D9,host,['10.200.20.3'],['10.200.20.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0327-rgk01,10C52906-3B7E-1005-8663-0050568525D9,host,['10.185.31.51'],['10.185.31.48/28'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
